OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
85,01,Minersville,0,MINERSVILLE,1333324800000,50590,3030,009,3,Minersville,807,855,MNR,1430376,58d67108-93a4-4ba1-8717-633fdd33a813,9163569.671920776,29659.06908724924
86,08,Huntington,0,HUNTINGTON,1375660800000,36950,3070,012,2,Huntington,1914,1970,HTN,1428946,71264b7b-36fe-4a14-9c90-4af3bad1de15,9790486.78515625,18679.871553102777
87,21,Joseph,0,JOSEPH,1283212800000,39370,3050,025,2, ,288,301,JOS,1442224,38f223b8-0d3e-4482-a36b-f006de09ed1f,3696463.546875,8330.324549300185
88,25,Orem,0,OREM,1604448000000,57300,3120,083,1,Orem,98129,95910,ORE,1444110,5d3cf74b-26fe-4fad-9c66-a1516b070108,83085887.42750837,64326.8543760872
89,03,Paradise,0,PARADISE,1644451200000,57850,3130,053,2, ,971,1014,PRD,1444178,c2db69a4-0700-4904-87fa-a08edd82391e,6712506.359375,14167.541250056225
90,23,Stockton,0,STOCKTON,1372118400000,73050,3040,046,2, ,621,623,STK,1432990,cf8a7df5-cf21-4394-b9db-d67d3f88cbf0,7577490.35546875,14222.930965470458
91,09,Bryce Canyon City,0,BRYCE CANYON CITY,1292371200000,08787,3015,003,3,Bryce Cyn,336,332,BRY,1439206,3ad2dd34-78b1-4043-ab99-9033ac57e0c9,13874725.65625,24229.60928221271
92,07,Myton,0,MYTON,1282521600000,53340,3030,017,4,Myton,561,560,MYT,1430626,2dad0340-70ae-4707-9eef-dc4f18c19c6e,4508986.046875,9323.758268779513
93,25,American Fork,0,AMERICAN FORK,1699920000000,01310,3020,002,1,American Fork,33337,37268,AFK,1438194,3bf542b4-b872-44ee-9a4d-d7f478f5bbff,51170399.71859312,88442.90074008057
94,25,Mapleton,0,MAPLETON,1525651200000,47950,3110,073,3, ,11365,12999,MAP,1443189,b54bdebe-ad93-41fd-8214-88e3eee16099,59136289.08323288,39736.6317209361
