OBJECTID,COUNTY_NAME,ROAD_NAME,OWNERSHIP
584424,WASHINGTON,CLAYMONT DR,COUNTY
584440,WASHINGTON,BOXFORD LA,COUNTY
584454,WASHINGTON,EASTWOOD DR,COUNTY
584520,WASHINGTON,CATHOLIC CHURCH RD,COUNTY
584522,WASHINGTON,PECKTONVILLE RD,COUNTY
584538,WASHINGTON,GIFT RD,COUNTY
584592,WASHINGTON,SNYDERS LANDING RD,COUNTY
584613,WASHINGTON,MIDVALE ST,COUNTY
584772,WASHINGTON,ORCHARD TERRACE RD,COUNTY
585002,WASHINGTON,MOHAWK DR,COUNTY
585043,WASHINGTON,STEVEN AVE,COUNTY
585058,WASHINGTON,SEMINOLE DR,COUNTY
585154,WASHINGTON,ELLIOTT PL,COUNTY
585215,WASHINGTON,STUART DR,COUNTY
585309,WASHINGTON,FRANKS RUN RD,COUNTY
585433,WASHINGTON,MEDICAL CAMPUS RD (SB/L),COUNTY
585468,WASHINGTON,BLUEGRASS DR,COUNTY
585494,WASHINGTON,NORWAY MAPLE DR,COUNTY
585549,WASHINGTON,BRIARWOOD DR,COUNTY
585587,WASHINGTON,BEVERLY DR,COUNTY
585774,WASHINGTON,WHEELER RD,COUNTY
585849,WASHINGTON,NO NAME,COUNTY
585873,WASHINGTON,BLACK ROCK LA,COUNTY
585923,WASHINGTON,MILDRED DR,COUNTY
586011,WASHINGTON,LIGHT ST,COUNTY
586039,WASHINGTON,BARNHART RD,COUNTY
586089,WASHINGTON,RIDENOUR RD,COUNTY
586117,WASHINGTON,FOUNTAIN TERR,COUNTY
586283,WASHINGTON,SPRECHER RD,COUNTY
586289,WASHINGTON,RENWICK TERR,COUNTY
586330,WASHINGTON,OTTAWA DR,COUNTY
586342,WASHINGTON,LINDENHURST CT,COUNTY
586349,WASHINGTON,KRETSINGER RD,COUNTY
586359,WASHINGTON,RABBIT CT,COUNTY
586367,WASHINGTON,MEADOW VIEW DR,COUNTY
586407,WASHINGTON,JENNIFER LA,COUNTY
586419,WASHINGTON,CARLYLE CT,COUNTY
586546,WASHINGTON,WABASH AVE,COUNTY
586572,WASHINGTON,HOLLYMEAD TERR,COUNTY
586588,WASHINGTON,SUGAR MAPLE CT,COUNTY
586651,WASHINGTON,WILDBERRY COURT,COUNTY
586662,WASHINGTON,THE TERRACE,COUNTY
586680,WASHINGTON,DOGWOOD DR,COUNTY
586715,WASHINGTON,AMBER DR,COUNTY
586743,WASHINGTON,BULLOCK CT,COUNTY
586751,WASHINGTON,MEDWAY RD,COUNTY
586755,WASHINGTON,GREYSTONE DR,COUNTY
586765,WASHINGTON,DAY BREAK CT,COUNTY
586794,WASHINGTON,JAMESTOWN CT,COUNTY
586800,WASHINGTON,HOLLYHOCK RD,COUNTY
586862,WASHINGTON,PONTIUS LA,COUNTY
586975,WASHINGTON,ELAINES WAY,COUNTY
587194,WASHINGTON,APPLEWOOD DR,COUNTY
587200,WASHINGTON,ANGLE DR,COUNTY
587256,WASHINGTON,GENTRY DR,COUNTY
587385,WASHINGTON,KAISER RIDGE RD,COUNTY
587517,WASHINGTON,SHOWALTER RD,COUNTY
587546,WASHINGTON,SPLENDOR VIEW TER,COUNTY
587574,WASHINGTON,TAMMANY LA,COUNTY
587617,WASHINGTON,PARK RD,COUNTY
587658,WASHINGTON,BOTTENFIELD RD,COUNTY
587766,WASHINGTON,STONE VALLEY DR,COUNTY
587921,WASHINGTON,MONROE RD,COUNTY
587989,WASHINGTON,HUNTERS GREEN PKWY,COUNTY
588021,WASHINGTON,CREST VIEW AVE,COUNTY
588022,WASHINGTON,DICKENSON LA,COUNTY
588086,WASHINGTON,DELWOOD AVE,COUNTY
588125,WASHINGTON,BUCKSKIN CT,COUNTY
588245,WASHINGTON,FIELDSTONE DR,COUNTY
588543,WASHINGTON,CATHEDRAL AVE,COUNTY
588600,WASHINGTON,TEAKWOOD DR,COUNTY
588670,WASHINGTON,SHALOM LA,COUNTY
588841,WASHINGTON,CEDARLAWN DR,COUNTY
588929,WASHINGTON,IRENE DR,COUNTY
588980,WASHINGTON,THIRD ST,COUNTY
589185,WASHINGTON,OLDE SAYBROOK CIR,COUNTY
589203,WASHINGTON,TRENGAIL RD,COUNTY
589277,WASHINGTON,UNGER RD,COUNTY
589396,WASHINGTON,BLUEBELL CT,COUNTY
589405,WASHINGTON,WEAVERTON RD,COUNTY
589408,WASHINGTON,COLE RD (EB/L),COUNTY
589409,WASHINGTON,ALLEY SECURITY RD,COUNTY
589417,WASHINGTON,TOP FLIGHT CT,COUNTY
589432,WASHINGTON,ROWE RD,COUNTY
589451,WASHINGTON,BOWEN CT,COUNTY
589491,WASHINGTON,DAY VIEW DR,COUNTY
589496,WASHINGTON,TIMBER LA,COUNTY
589523,WASHINGTON,RUFUS WILSON RD,COUNTY
