OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,Shape__Area,Shape__Length
23,WHP,WHITEMAN AIRPORT,WHITEMAN,Los Angeles,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,01818.1*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=WHP,1081812.52266535,5695.692497529097
24,WJF,GENERAL WILLIAM M FOX AIRPORT,GEN. WILLIAM M. FOX,Lancaster,Los Angeles,Regional,REGIONAL-Business/Corporate,General Aviation,01754.2*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=WJF,7311415.70134388,12615.502964560574
25,WLW,WILLOWS - GLENN COUNTY AIRPORT,WILLOWS,Willows,Glenn,Community,COMMUNITY,General Aviation,02461.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=WLW,2035962.018383655,6414.460625590377
26,TOA,ZAMPERINI FIELD AIRPORT,ZAMPERINI FIELD,Torrance,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,General Aviation,02356.1*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=TOA,2606251.16437794,7240.440203258711
27,A24,CALIFORNIA PINES AIRPORT,CALIFORNIA PINES,Alturas,Modoc,Limited Use,LIMITED USE,Not a NPIAS Facility,01234.12*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=A24,428205.31035961,5275.924757588698
28,STS,"CHARLES M. SCHULZ, SONOMA COUNTY AIRPORT",CHARLES M. SCHULZ,Santa Rosa,Sonoma,Commercial/Primary,PRIMARY-NON-HUB-REGIONAL-Business/Corporate,Commercial Service Primar,02260.*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=STS,6306998.56450921,10492.543881827729
29,49X,CHEMEHUEVI VALLEY AIRPORT,CHEMEHUEVI VALLEY,Chemehuevi,San Bernardino,Limited Use,LIMITED USE,General Aviation,01390.*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=49X,1239864.20932875,6559.448768250767
30,2O6,CHOWCHILLA AIRPORT,CHOWCHILLA,Chowchilla,Madera,Community,COMMUNITY,General Aviation,01400.5*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=2O6,573035.0348649,4682.3274869319985
31,1Q1,ECKERT FIELD AIRPORT,ECKERT FIELD,Strathmore,Tulare,Community,COMMUNITY-Recreation,Not a NPIAS Facility,02321.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=1Q1,165663.76398116,2372.1120204277972
32,2O1,GANSNER AIRPORT,GANSNER,Quincy,Plumas,Community,COMMUNITY,General Aviation,02074.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=2O1,604803.64493964,4801.153792770721
33,1Q5,GRAVELLY VALLEY AIRPORT,GRAVELLY VALLEY,Upper Lake,Lake,Limited Use,LIMITED USE-Recreation,Not a NPIAS Facility,02387.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=1Q5,341188.84620482,4732.700923003002
34,3O1,GUSTINE AIRPORT,GUSTINE,Gustine,Merced,Community,COMMUNITY-Agriculture,General Aviation,01636.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=3O1,574198.59531506,4502.116773621606
35,36S,HAPPY CAMP AIRPORT,HAPPY CAMP,Happy Camp,Siskiyou,Community,COMMUNITY,General Aviation,01645.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=36S,463624.06028913,4309.911789656534
36,3O8,HARRIS RANCH AIRPORT,HARRIS RANCH,Coalinga,Fresno,Limited Use,LIMITED USE,Not a NPIAS Facility,01419.12*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=3O8,499039.36509072,4418.664633442659
37,CVH,HOLLISTER MUNICIPAL AIRPORT,HOLLISTER MUNI,Hollister,San Benito,Regional,REGIONAL,General Aviation,01668.*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=CVH,2303209.10431403,10956.847262106716
38,2O7,INDEPENDENCE AIRPORT,INDEPENDENCE,Independence,Inyo,Community,COMMUNITY,General Aviation,01686.*A,9,http://www.gcr1.com/5010web/airport.cfm?Site=2O7,780475.983666555,4754.16173695256
39,TLR,MEFFORD FIELD AIRPORT,MEFFORD FIELD,Tulare,Tulare,Regional,REGIONAL,General Aviation,02371.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=TLR,1279005.416187535,5382.455794622058
40,1Q4,NEW JERUSALEM AIRPORT,NEW JERUSALEM,Tracy,San Joaquin,Limited Use,LIMITED USE,Not a NPIAS Facility,02358.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=1Q4,2546892.043877535,6589.107491646247
